Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
15-07-2015,137.5,139.5,136.6,138.5,138.15,1530200,2113.74
14-07-2015,137,138.2,135.75,137.1,137.05,1974367,2707.3
13-07-2015,134.9,137.8,134.25,136.8,136.8,1720786,2348.59
10-07-2015,134.8,135.6,133.8,134.7,134.55,1590741,2140.22
09-07-2015,134.9,135.7,133.2,134.45,133.95,1049069,1413.1
08-07-2015,136.1,138,134.2,134.65,134.9,1608817,2183.57
07-07-2015,135.6,141.65,135.1,138.05,138.2,3133999,4355.13
06-07-2015,133.1,135.6,132.2,134.9,135,1260314,1687.12
03-07-2015,137.5,138.6,135.25,135.8,136.1,1032972,1412.33
02-07-2015,135.45,138.05,135.1,136.9,137.1,1826569,2501
01-07-2015,132.5,136.1,131.3,134.95,135.55,2667661,3586.44
30-06-2015,129.75,132.75,129.15,132,132.2,4332991,5696.62
29-06-2015,132,132,128.2,129.6,129.55,1397938,1809.6
26-06-2015,133.2,135,132.3,133.55,133.85,928889,1240.8
25-06-2015,132.9,136.4,132.6,136,135.7,2736280,3687.65
24-06-2015,133.35,135.25,132.5,133,133.2,1696146,2271.11
23-06-2015,135.6,135.9,133,134,133.85,2115793,2837.31
22-06-2015,133.75,136.45,133.7,134.9,135,1019044,1377.75
19-06-2015,133.2,136.2,132.65,134.05,133.75,1278156,1720.83
18-06-2015,132.95,133.9,132.3,133.2,132.6,970883,1292.67
17-06-2015,129.3,134.15,128.85,132.15,132.35,2239733,2962.18
16-06-2015,128.95,129.5,126.8,129.15,128.7,1341209,1716.65
15-06-2015,127.85,130.9,127.1,128.5,129.1,1933262,2490.3
12-06-2015,133.6,134.45,125.7,127.9,128.15,2641286,3422.1
11-06-2015,137,137.75,133.6,133.9,134.4,1586596,2149.62
10-06-2015,137.6,138.7,136,136.4,136.6,799419,1095.41
09-06-2015,135,138.9,134,137.2,137.55,877704,1200.24
08-06-2015,138.8,138.8,134,134.9,134.85,1937914,2617.89
05-06-2015,137.9,139.7,136.85,138.2,138.5,756591,1047.42
04-06-2015,137.65,138.6,136,138.05,137.75,2132044,2926.25
03-06-2015,140.6,141.2,136.5,137,137.35,2271136,3142.58
02-06-2015,145,145.75,140,140.05,140.8,2077218,2965.56
01-06-2015,145.3,146.4,144.8,145.05,145.15,569531,827.64
29-05-2015,143.05,146.65,143.05,146.1,146.25,1343454,1949.39
28-05-2015,149.4,150.3,143,144.6,144.9,5132085,7496.33
27-05-2015,147.4,150,147.4,148.95,148.7,909189,1353.39
26-05-2015,146.8,149.7,146.8,148.5,148.8,1118631,1662.47
25-05-2015,147.5,149.45,146.75,146.75,147.45,872187,1292.69
22-05-2015,147,149.15,146.55,147.8,147.95,1010894,1497.68
21-05-2015,146.15,147.5,145.05,146.85,146.65,702795,1028.35
20-05-2015,147.45,148.75,144.55,146.05,145.95,1648427,2418.83
19-05-2015,147.8,149.25,146.8,147.45,147.55,1138811,1688.58
18-05-2015,147.75,150.45,147.65,147.95,147.95,1497623,2226.75
15-05-2015,146.85,148.5,145.45,146.1,147.4,2232739,3278.78
14-05-2015,145.05,146.9,143.65,146.45,146.3,1373721,2005.47
13-05-2015,143.15,145.9,143.05,144.25,144.55,2227212,3217.77
12-05-2015,143.3,145.5,139.4,142.65,142.85,3019872,4303.91
11-05-2015,141.4,143.9,140.55,143.1,143.35,2341680,3334.45
08-05-2015,139,141.85,138.3,140.95,141.05,1572681,2211.64
07-05-2015,139,140.45,136.6,137.65,137.75,2366296,3275.22
06-05-2015,144.25,144.95,138.75,139.9,139.8,2281538,3207.9
05-05-2015,143.85,145.9,143.5,144.6,144.55,1785800,2584.34
04-05-2015,143.4,144.9,142.55,143.45,143.55,1103984,1584.73
30-04-2015,142.25,143.15,140.4,142.8,142.1,2456804,3487.14
29-04-2015,142.25,143.35,141.5,142.4,142.55,1836583,2617.78
28-04-2015,141.6,144.15,141,141.9,141.95,3701269,5266.83
27-04-2015,147.65,148.15,141.4,141.8,142.15,3007045,4300.52
24-04-2015,150.65,150.65,146.2,146.7,147.25,1179218,1748.12
23-04-2015,151,152.5,149.9,150,150.2,2312755,3494.39
22-04-2015,150.9,151.75,145.85,148.85,149.65,2719219,4056.15
21-04-2015,152.9,154.65,149.65,150.2,150.2,3096387,4690.1
20-04-2015,157.3,157.75,151.2,152.9,153.25,1753170,2696.67
17-04-2015,159.25,161.2,157,157.25,157.55,1223180,1947.21
16-04-2015,158.9,160.25,156.05,159.35,159.3,1373494,2177.09
15-04-2015,161.45,163.5,157.85,158.65,158.95,4215595,6782.77
13-04-2015,161.65,162.75,158.6,160.55,161.5,3122578,5017.83
10-04-2015,152.7,162.5,152.05,160.9,161.2,6349564,10128.78
09-04-2015,152.35,153,151,151.95,152.05,852909,1296.8
08-04-2015,151.8,153.7,150.8,151.9,151.6,1142129,1737.96
07-04-2015,152.4,152.4,149.9,151.25,151.1,1810409,2737.89
06-04-2015,151.95,152.1,149.8,152.1,151.45,843471,1273.34
01-04-2015,148.8,151.95,148.8,151,151.1,575050,867.44
31-03-2015,150.25,151.2,148.3,148.85,148.8,1383972,2073.89
30-03-2015,147.1,150.25,146.55,150.25,149.75,818899,1214.3
27-03-2015,148.45,149.2,142.7,145.75,145.75,2099157,3052.8
26-03-2015,148.05,149.55,146.5,147.25,147.3,2029247,3012.11
25-03-2015,148,149.4,147.75,149,149,1566031,2326.57
24-03-2015,147.35,148.95,146.2,148.5,147.95,1328198,1961.73
23-03-2015,149.8,150.55,146.9,147,147.2,1229406,1821.99
20-03-2015,153.75,153.75,149,149.75,149.95,1834524,2762.52
19-03-2015,156.65,157.35,152.7,153.1,153.85,1776564,2744.14
